latitude;longitude;elevation;time
-3.74189213;-38.57702706;13.699;2024-04-09 13:21:16
-3.74191926;-38.57706294;13.522;2024-04-09 13:21:17
-3.74195027;-38.57708728;13.303;2024-04-09 13:21:18
-3.74198363;-38.57710081;13.215;2024-04-09 13:21:19
-3.74201985;-38.57710697;13.250;2024-04-09 13:21:20
-3.74206074;-38.57711820;12.951;2024-04-09 13:21:21
-3.74210068;-38.57713810;12.839;2024-04-09 13:21:22
-3.74213304;-38.57717099;12.692;2024-04-09 13:21:23
-3.74217206;-38.57720471;12.745;2024-04-09 13:21:24
-3.74221060;-38.57725121;12.468;2024-04-09 13:21:25
-3.74225213;-38.57728647;12.255;2024-04-09 13:21:26
-3.74229454;-38.57731999;12.346;2024-04-09 13:21:27
-3.74234004;-38.57734932;12.103;2024-04-09 13:21:28
-3.74238477;-38.57737738;12.231;2024-04-09 13:21:29
-3.74242934;-38.57740735;11.670;2024-04-09 13:21:30
-3.74247334;-38.57743884;11.972;2024-04-09 13:21:31
-3.74251826;-38.57747450;11.708;2024-04-09 13:21:32
-3.74256314;-38.57750894;12.095;2024-04-09 13:21:33
-3.74260537;-38.57754646;11.992;2024-04-09 13:21:34
-3.74264510;-38.57759231;11.553;2024-04-09 13:21:35
-3.74268831;-38.57763021;11.498;2024-04-09 13:21:36
-3.74272973;-38.57767453;11.425;2024-04-09 13:21:37
-3.74276975;-38.57771815;11.214;2024-04-09 13:21:38
-3.74281145;-38.57776265;11.626;2024-04-09 13:21:39
-3.74284803;-38.57780541;11.367;2024-04-09 13:21:40
-3.74288389;-38.57784479;11.617;2024-04-09 13:21:41
-3.74291910;-38.57788575;11.626;2024-04-09 13:21:42
-3.74294641;-38.57791311;11.740;2024-04-09 13:21:43
-3.74296706;-38.57793235;12.060;2024-04-09 13:21:44
-3.74298788;-38.57795433;11.931;2024-04-09 13:21:45
-3.74301065;-38.57797831;11.994;2024-04-09 13:21:46
-3.74303555;-38.57800415;12.007;2024-04-09 13:21:47
-3.74306393;-38.57803405;11.997;2024-04-09 13:21:48
-3.74309577;-38.57806673;11.949;2024-04-09 13:21:49
